name,lat,lon,pop,rank
Alice Springs,-23.701,133.88,27710,3
Dongola,19.167,30.483,26404,3
Grootfontein,-19.567,18.117,24099,3
Whitehorse,60.717,-135.05,23276,3
Yellowknife,62.442,-114.397,19234,3
Belmopan,17.252,-88.767,15220,3
Nuuk,64.198,-51.733,14798,3
Prince Rupert,54.317,-130.33,14708,3
Pierre,44.368,-100.351,13879,3
Menongue,-14.667,17.7,13030,3
Obo,5.4,26.5,12887,3
N'Délé,8.409,20.653,11764,3
Anadyr,64.737,177.475,10332,3
Kodiak,57.79,-152.407,9461,3
Bethel,60.793,-161.756,6228,3
Mitú,1.198,-70.174,5917,3
Tiksi,71.627,128.835,5700,3
Utqiaġvik,71.291,-156.789,4336,3
Valdez,61.136,-146.348,4036,3
Palana,59.084,159.95,3671,3
Nome,64.506,-165.406,3485,3
Puerto Deseado,-47.75,-65.9,3305,3
Prudhoe Bay,70.292,-148.669,2500,3
Stanley,-51.7,-57.85,2213,3
Nain,56.547,-61.686,1151,3
Dikson,73.507,80.545,1113,3
Churchill,58.766,-94.166,1000,3
Naujaat,66.529,-86.283,1000,3
Arctic Bay,73.033,-85.167,604,3
Fort Good Hope,66.267,-128.633,597,3
Point Hope,68.348,-166.808,461,3
Nizhneyansk,71.433,136.067,400,3
Resolute,74.683,-94.9,250,3
Cold Bay,55.2,-162.715,200,3
Fort Severn,55.983,-87.65,125,3
Amaravati,16.534,80.524,5800000,4
Belo Horizonte,-19.913,-43.917,5575000,4
Busan,35.097,129.008,3480000,4
Nagoya,35.157,136.913,3230000,4
Dalian,38.925,121.628,3167000,4
Qingdao,36.092,120.328,2866000,4
Fukuoka,33.597,130.408,2792000,4
Campinas,-22.908,-47.056,2791000,4
Lucknow,26.857,80.913,2695000,4
Taichung,24.152,120.682,2629323,4
Ibadan,7.382,3.928,2628000,4
İzmir,38.438,27.15,2587000,4
Incheon,37.478,126.64,2550000,4
Xiamen,24.452,118.078,2519000,4
George Town,5.414,100.329,2500000,4
Jinxi,40.752,120.828,2426000,4
Shijiazhuang,38.052,114.478,2417000,4
Jilin,43.852,126.548,2396000,4
Omdurman,15.617,32.48,2395159,4
Wenzhou,28.022,120.648,2350000,4
Birmingham,52.477,-1.922,2285000,4
Baltimore,39.282,-76.615,2255000,4
Sendai,38.268,140.87,2250000,4
Manchester,53.475,-2.249,2230000,4
Nanchong,30.782,106.128,2174000,4
Zaozhuang,34.882,117.568,2145000,4
Yantai,37.532,121.398,2116000,4
Xuzhou,34.282,117.178,2091000,4
Linyi,35.082,118.328,2082000,4
Hefei,31.852,117.278,2035000,4
Indore,22.717,75.863,2026000,4
Haiphong,20.832,106.678,1969000,4
Suzhou,33.638,116.977,1964000,4
Nanyang,33.002,112.528,1944000,4
Ningbo,29.882,121.548,1923000,4
Douala,4.062,9.708,1906000,4
Kyoto,35.032,135.748,1805000,4
Barranquilla,10.962,-74.802,1798000,4
Vadodara,22.312,73.178,1756000,4
Wuxi,31.582,120.298,1749000,4
San Bernardino,34.122,-117.302,1745000,4
Hohhot,40.822,111.658,1726000,4
Daqing,46.582,124.998,1693000,4
Suzhou,31.302,120.618,1650000,4
Ludhiana,30.93,75.87,1649000,4
Anshan,41.117,122.938,1639000,4
Handan,36.582,114.478,1631000,4
Agra,27.172,78.013,1592000,4
Zhanjiang,21.202,110.378,1590000,4
Khulna,22.842,89.558,1553000,4
Santiago,19.5,-70.67,1550753,4
Kochi,10.017,76.222,1519000,4
Gujranwala,32.162,74.183,1513000,4
Florence,43.78,11.25,1500000,4
Bursa,40.202,29.068,1492000,4
León,21.152,-101.702,1488000,4
Nasik,20.002,73.778,1473000,4
Kansas City,39.109,-94.606,1469000,4
Daejeon,36.337,127.423,1468000,4
Neijiang,29.582,105.048,1466000,4
Quanzhou,24.902,118.578,1463000,4
Kharkiv,50.002,36.248,1461000,4
Doha,25.287,51.533,1450000,4
Kaduna,10.522,7.438,1442000,4
Ft.  Worth,32.74,-97.34,1440454,4
Gwangju,35.173,126.908,1440000,4
Indianapolis,39.752,-86.172,1436000,4
Tabriz,38.088,46.299,1413000,4
The Hague,52.08,4.27,1406000,4
Marseille,43.292,5.373,1400000,4
Meerut,29.002,77.698,1398000,4
Mianyang,31.465,104.69,1396000,4
Faridabad,28.435,77.315,1394000,4
